Sensor_1,Sensor_2,Target_Calcium
5.27,0.35,0
7.29,1.66,1
7.76,1.48,1
5.69,0.42,0
7.78,1.47,1
6.81,1.67,1
5.09,0.47,0
5.63,0.3,0
8.71,1.69,1
4.72,0.38,0
8.96,1.23,1
5.42,0.56,0
5.5,0.14,0
4.33,0.29,0
6.72,1.54,1
8.2,1.39,1
5.62,0.02,0
7.8,1.6,1
7.36,1.49,1
5.63,0.74,0
8.75,1.56,1
8.1,1.45,1
4.56,0.28,0
6.12,0.59,0
5.61,0.37,0
6.25,0.05,0
5.35,0.44,0
7.48,1.18,1
9.0,1.76,1
7.83,1.32,1
7.72,1.36,1
4.98,0.68,0
7.66,1.64,1
8.62,1.5,1
7.36,0.86,1
7.36,1.24,1
5.51,0.11,0
8.66,1.4,1
5.05,0.91,0
5.87,0.48,0
7.43,1.79,1
7.81,1.45,1
4.84,0.2,0
5.5,0.63,0
5.17,0.12,0
