Sensor_1,Sensor_2,Target_Calcium
7.87,1.24,1
4.82,0.49,0
6.12,0.65,0
7.27,1.31,1
4.49,0.28,0
5.18,0.43,0
7.92,1.19,1
5.96,0.21,0
8.62,1.27,1
5.94,0.37,0
8.07,1.54,1
4.64,0.73,0
4.63,0.36,0
8.24,1.63,1
8.62,1.33,1
8.11,1.37,1
4.65,0.71,0
5.24,-0.0,0
7.65,1.27,1
5.45,0.54,0
6.28,0.8,0
8.89,1.74,1
5.57,0.63,0
7.86,1.5,1
8.11,1.56,1
6.45,0.34,0
5.13,0.42,0
8.62,1.87,1
8.29,1.56,1
8.89,2.27,1
5.8,0.66,0
7.21,1.67,1
7.19,1.5,1
8.93,1.45,1
5.76,0.23,0
7.9,0.95,1
4.69,0.55,0
4.64,0.62,0
7.85,1.67,1
8.46,1.56,1
5.56,0.5,0
5.25,0.66,0
7.94,1.41,1
5.92,0.32,0
7.85,1.77,1
8.82,1.79,1
8.61,1.42,1
7.32,1.74,1
8.21,1.43,1
6.19,0.49,0
4.74,0.53,0
5.24,0.16,0
8.15,1.13,1
4.58,0.41,0
7.99,1.53,1
7.65,1.67,1
5.49,0.55,0
6.72,0.34,0
5.53,0.13,0
6.04,0.2,0
7.44,1.94,1
5.51,0.21,0
8.01,1.42,1
8.3,1.69,1
8.62,1.3,1
6.77,1.65,1
6.84,1.85,1
4.87,0.23,0
6.83,1.05,1
5.76,0.28,0
7.9,1.64,1
7.35,1.74,1
5.15,0.55,0
5.23,0.35,0
5.3,0.32,0
5.97,0.55,0
8.45,1.39,1
7.36,1.46,1
8.53,1.66,1
5.17,0.22,0
5.5,0.63,0
8.2,1.67,1
8.47,1.7,1
5.1,0.5,0
4.78,0.33,0
8.06,1.4,1
4.6,0.36,0
5.94,0.5,0
7.44,1.53,1
5.12,0.18,0
7.3,1.68,1
4.45,0.86,0
8.68,1.44,1
7.58,1.41,1
4.48,0.32,0
8.1,1.23,1
8.14,1.45,1
8.05,1.77,1
5.39,0.7,0
6.21,0.26,0
5.51,0.33,0
7.67,1.63,1
7.89,1.3,1
8.2,1.76,1
7.8,1.4,1
5.76,0.29,0
7.81,1.27,1
7.39,1.39,1
6.32,0.4,0
8.16,1.64,1
6.09,0.34,0
4.66,0.47,0
5.05,0.48,0
8.52,1.83,1
8.23,1.57,1
7.61,1.32,1
6.97,1.53,1
5.95,0.35,0
5.64,0.5,0
5.41,0.24,0
6.04,0.34,0
7.62,1.59,1
5.39,0.62,0
4.4,0.27,0
8.21,1.61,1
4.52,0.48,0
6.28,0.31,0
7.98,1.36,1
9.11,1.48,1
5.17,0.76,0
4.84,0.3,0
8.97,1.72,1
7.76,1.53,1
10.0,1.43,1
4.99,0.26,0
7.76,1.66,1
4.72,0.48,0
5.91,0.35,0
7.76,2.12,1
7.92,1.57,1
4.76,0.49,0
7.91,1.64,1
7.82,1.53,1
6.62,1.5,1
7.66,1.65,1
5.9,0.79,0
5.71,0.6,0
6.6,0.63,0
7.79,1.27,1
9.65,1.14,1
8.15,1.68,1
7.99,1.93,1
8.05,1.48,1
5.13,0.82,0
8.32,1.48,1
5.29,0.22,0
8.32,1.7,1
7.24,1.12,1
7.49,1.58,1
5.35,0.45,0
5.23,0.57,0
5.0,0.31,0
6.07,0.55,0
5.71,0.37,0
4.78,0.94,0
5.52,0.45,0
6.38,0.72,0
5.91,0.18,0
7.85,1.22,1
5.95,0.65,0
5.72,0.64,0
4.94,0.52,0
7.95,1.51,1
5.99,0.08,0
5.15,-0.05,0
8.07,1.76,1
7.23,1.15,1
4.77,0.28,0
8.04,1.37,1
7.92,1.5,1
5.57,0.42,0
4.79,0.52,0
8.72,1.65,1
6.82,1.22,1
8.76,1.41,1
9.28,1.7,1
8.6,1.21,1
5.45,0.46,0
4.53,0.28,0
8.1,1.98,1
8.01,1.4,1
6.42,0.06,0
8.35,1.3,1
7.97,1.25,1
8.33,1.67,1
8.25,1.66,1
5.29,0.44,0
4.6,0.49,0
7.97,1.61,1
4.01,0.36,0
5.52,0.59,0
8.47,1.71,1
6.73,0.7,0
8.02,1.66,1
6.47,0.46,0
9.63,1.72,1
5.72,1.09,0
5.58,0.86,0
7.28,1.57,1
3.72,0.69,0
